bdedf39f-ac4d-492a-aed4-d81dddd3cabe,1/1/85,India,Afrikaans
f51a0432-6a8a-4e21-8603-b57918d37c0c,1/1/05,Somalia,Afrikaans
1a3ea3e4-1c59-4fd9-9ea1-f1096b58a40f,1/1/96,United States,English (United States)
e84f7738-9142-4c16-8c33-4271bf8c244e,1/1/85,India,Afrikaans
62d1b928-342e-4cf2-a76e-65d6ace48351,1/1/17,Kenya,English
1334e08c-4687-497d-bda6-13ee713c5a23,1/1/98,United States,English
c74ffd48-d4db-419a-9114-29c285f4d4e2,1/1/04,United States,Hindi
b0fba808-fb6e-4ed2-8576-adadcdae780d,1/1/98,United Kingdom,English (United Kingdom)
210151d7-7780-4b2f-98ad-118bd3b14cf5,1/1/17,modesto,English
NULL,1/1/17,United Kingdom,Englisch (Großbritannien)
e66386ed-31b8-403b-839c-e8bfb8756a34,1/1/17,United Kingdom,Afrikaans
8a801d43-fade-4cf9-9cc7-937d171e4be8,1/1/97,United States,Englisch (USA)
NULL,1/1/17,United States,Albanisch
c722f755-9e7c-4674-91d3-86e9eed27427,1/1/17,United States,Englisch (USA)
74912541-2f93-4153-8c47-dabfb8ecca48,1/1/05,United States,Englisch (USA)
bc2943ca-c591-435a-9945-780c7a003c05,1/1/17,Saudi Arabia,Arabisch (Saudi-Arabien)
NULL,1/1/84,Lebanon,Arabisch
2d4d6a0f-4ca4-4d39-babc-ed38da531e0b,1/1/01,United States,Afrikaans
NULL,1/1/17,United States,Englisch (USA)
a9604168-036c-4842-89e0-20262ccd15f1,1/1/97,United States,Nepali
2c525ba1-f018-49d4-90b1-e57e44bf55c7,1/1/98,Pakistan,Afrikaans
10e60699-4fac-40fb-9319-c77acbc75d4d,1/1/98,Romania,Rumänisch
d15f5acc-dd95-432a-97c4-918f1a07b366,1/1/17,Vietnam,Vietnamesisch (Vietnam)
4ee2d3e8-d585-4fce-a013-01b2088e119d,1/1/08,United States,English
3ae0b973-508f-4e69-9333-eb709e120bbf,1/1/04,United States,English
a12812ee-90fa-481c-8686-86622fcf558a,1/1/78,United States,English
